"","X","ord_in_thread","author","published","crawled","site_url","country","domain_rank","spam_score","replies_count","participants_count","likes","comments","shares","type"
"31",31,0,"Barracuda Brigade","11/23/2016 19:06","11/23/2016 23:18","100percentfedup.com","US",25689,0,0,1,0,0,0,"bias"
"32",32,0,"EdJenner","11/25/2016 7:24","11/25/2016 7:24","100percentfedup.com","US",25689,0,0,1,0,0,0,"bias"
"33",33,0,"EdJenner","11/25/2016 13:21","11/25/2016 13:21","100percentfedup.com","US",25689,0,0,1,0,0,0,"bias"
"34",34,0,"Unspecified","10/26/2016 23:24","10/28/2016 1:15","21stcenturywire.com","US",0,0.015,0,0,0,0,0,"conspiracy"
"35",35,0,"Unspecified","10/29/2016 13:20","10/29/2016 23:12","21stcenturywire.com","US",0,0,0,0,0,0,0,"conspiracy"
"36",36,0,"Shawn Helton","10/29/2016 1:22","10/30/2016 2:16","21stcenturywire.com","US",0,0,0,0,0,0,0,"conspiracy"
"37",37,0,"Mike Rivero","11/1/2016 23:43","11/2/2016 6:58","21stcenturywire.com","US",0,0,0,1,0,0,0,"conspiracy"
"38",38,0,"Unspecified","11/1/2016 14:48","11/2/2016 8:39","21stcenturywire.com","US",0,0.293,0,0,0,0,0,"conspiracy"
"39",39,0,"Shawn Helton","11/3/2016 22:03","11/4/2016 5:25","21stcenturywire.com","US",0,0.139,0,0,0,0,0,"conspiracy"
"40",40,0,"Unspecified","11/4/2016 13:33","11/5/2016 2:46","21stcenturywire.com","US",0,0,0,0,0,0,0,"conspiracy"
"41",41,0,"Unspecified","11/4/2016 12:30","11/5/2016 2:46","21stcenturywire.com","US",0,0.417,0,0,0,0,0,"conspiracy"
"42",42,0,"Unspecified","11/6/2016 5:48","11/6/2016 23:29","21stcenturywire.com","US",0,0.983,0,0,0,0,0,"conspiracy"
"43",43,0,"Unspecified","11/6/2016 20:52","11/7/2016 20:24","21stcenturywire.com","US",0,0.002,0,0,0,0,0,"conspiracy"
"44",44,0,"Unspecified","11/9/2016 15:06","11/9/2016 18:23","21stcenturywire.com","US",0,0.124,0,0,0,0,0,"conspiracy"
"45",45,0,"Unspecified","11/10/2016 10:04","11/10/2016 10:04","21stcenturywire.com","US",0,0,0,0,0,0,0,"conspiracy"
"46",46,0,"Unspecified","11/10/2016 12:42","11/10/2016 23:36","21stcenturywire.com","US",0,0.002,0,0,0,0,0,"conspiracy"
"47",47,0,"Unspecified","11/11/2016 11:52","11/12/2016 4:41","21stcenturywire.com","US",0,0.49,0,0,0,0,0,"conspiracy"
"48",48,0,"Unspecified","11/11/2016 13:35","11/12/2016 4:41","21stcenturywire.com","US",0,0.293,0,0,0,0,0,"conspiracy"
"49",49,0,"Mike Rivero","11/12/2016 21:13","11/12/2016 21:13","21stcenturywire.com","US",0,0,0,1,0,0,0,"conspiracy"
"50",50,0,"Mike Rivero","11/12/2016 21:13","11/12/2016 21:13","21stcenturywire.com","US",0,0,0,1,0,0,0,"conspiracy"
"51",51,0,"Unspecified","11/13/2016 1:51","11/13/2016 2:33","21stcenturywire.com","US",0,0.288,0,0,0,0,0,"conspiracy"
"52",52,0,"Unspecified","11/13/2016 21:22","11/14/2016 20:30","21stcenturywire.com","US",0,0.959,0,0,0,0,0,"conspiracy"
"53",53,0,"Mike Rivero","11/16/2016 22:41","11/17/2016 1:16","21stcenturywire.com","US",0,0,0,1,0,0,0,"conspiracy"
"54",54,0,"Mike Rivero","11/22/2016 22:49","11/22/2016 23:36","21stcenturywire.com","US",0,0,0,1,0,0,0,"conspiracy"
"55",55,0,"Mike Rivero","11/24/2016 1:37","11/24/2016 4:43","21stcenturywire.com","US",0,0,0,1,0,0,0,"conspiracy"
"56",56,0,"Branko Mali","11/25/2016 12:33","11/25/2016 12:33","21stcenturywire.com","US",0,0.121,0,0,0,0,0,"conspiracy"
"57",57,0,"Unspecified","11/25/2016 0:49","11/25/2016 21:06","21stcenturywire.com","US",0,0.301,0,0,0,0,0,"conspiracy"
"58",58,0,"Jimmy Rustling","10/27/2016 10:00","10/27/2016 12:50","abcnews.com.co","CO",65078,0,0,0,0,0,0,"fake"
"59",59,0,"Jimmy Rustling","11/11/2016 10:00","11/11/2016 14:33","abcnews.com.co","US",65078,0.009,0,0,0,0,0,"fake"
"60",60,0,"tokyowashi","10/27/2016 3:14","10/27/2016 4:37","abeldanger.net","US",0,0,5,1,0,0,0,"bs"
"61",61,1,"Anonymous","10/26/2016 20:12","10/27/2016 4:37","abeldanger.net","US",0,0,5,1,0,0,0,"bs"
"62",62,2,"Anonymous","10/26/2016 19:48","10/27/2016 4:37","abeldanger.net","US",0,0,5,1,0,0,0,"bs"
"63",63,3,"Anonymous","10/26/2016 19:35","10/27/2016 4:37","abeldanger.net","US",0,0,5,1,0,0,0,"bs"
"64",64,4,"Anonymous","10/26/2016 19:19","10/27/2016 4:37","abeldanger.net","US",0,0,5,1,0,0,0,"bs"
"65",65,5,"Anonymous","10/26/2016 19:07","10/27/2016 4:37","abeldanger.net","US",0,0,5,1,0,0,0,"bs"
"66",66,6,"Anonymous","10/26/2016 19:07","10/27/2016 8:39","abeldanger.net","US",0,0,6,1,0,0,0,"bs"
"67",67,4,"Anonymous","10/26/2016 19:35","10/27/2016 8:40","abeldanger.net","US",0,0,6,1,0,0,0,"bs"
"68",68,5,"Anonymous","10/26/2016 19:19","10/27/2016 8:40","abeldanger.net","US",0,0,6,1,0,0,0,"bs"
"69",69,6,"Anonymous","10/26/2016 19:07","10/27/2016 8:40","abeldanger.net","US",0,0,6,1,0,0,0,"bs"
"70",70,0,"tokyowashi","10/28/2016 0:19","10/28/2016 0:19","abeldanger.net","US",0,0,2,1,0,0,0,"bs"
"71",71,1,"Anonymous","10/27/2016 18:50","10/28/2016 0:19","abeldanger.net","US",0,0,2,1,0,0,0,"bs"
"72",72,2,"Anonymous","10/27/2016 18:30","10/28/2016 0:19","abeldanger.net","US",0,0,2,1,0,0,0,"bs"
"73",73,3,"Anonymous","10/27/2016 20:03","10/28/2016 2:05","abeldanger.net","US",0,0,6,1,0,0,0,"bs"
"74",74,4,"Anonymous","10/27/2016 19:57","10/28/2016 2:05","abeldanger.net","US",0,0,6,1,0,0,0,"bs"
"75",75,5,"Anonymous","10/27/2016 18:50","10/28/2016 2:05","abeldanger.net","US",0,0,6,1,0,0,0,"bs"
"76",76,6,"Anonymous","10/27/2016 18:30","10/28/2016 2:05","abeldanger.net","US",0,0,6,1,0,0,0,"bs"
"77",77,7,"Anonymous","10/27/2016 18:50","10/28/2016 2:57","abeldanger.net","US",0,0,8,1,0,0,0,"bs"
"78",78,8,"Anonymous","10/27/2016 18:30","10/28/2016 2:57","abeldanger.net","US",0,0,8,1,0,0,0,"bs"
"79",79,9,"Anonymous","10/27/2016 18:30","10/28/2016 3:57","abeldanger.net","US",0,0,9,1,0,0,0,"bs"
"80",80,0,"tokyowashi","10/28/2016 11:03","10/28/2016 11:03","abeldanger.net","US",0,0,0,1,0,0,0,"bs"
"81",81,1,"pak alresky","10/28/2016 8:58","10/28/2016 15:07","abeldanger.net","US",0,0,1,1,0,0,0,"bs"
"82",82,0,"tokyowashi","10/28/2016 20:31","10/28/2016 20:31","abeldanger.net","US",0,0,0,1,0,0,0,"bs"
"83",83,1,"Anonymous","10/28/2016 17:39","10/29/2016 0:14","abeldanger.net","US",0,0,2,1,0,0,0,"bs"
"84",84,2,"Anonymous","10/28/2016 17:00","10/29/2016 0:14","abeldanger.net","US",0,0,2,1,0,0,0,"bs"
"85",85,0,"tokyowashi","10/29/2016 8:56","10/29/2016 8:56","abeldanger.net","US",0,0,0,1,0,0,0,"bs"
"86",86,1,"Anonymous","10/29/2016 6:34","10/29/2016 11:49","abeldanger.net","US",0,0,1,1,0,0,0,"bs"
"87",87,0,"tokyowashi","10/29/2016 12:58","10/29/2016 12:58","abeldanger.net","US",0,0,1,1,0,0,0,"bs"
"88",88,1,"Anonymous","10/29/2016 7:38","10/29/2016 12:58","abeldanger.net","US",0,0,1,1,0,0,0,"bs"
"89",89,0,"tokyowashi","10/29/2016 20:54","10/29/2016 20:54","abeldanger.net","US",0,0,0,1,0,0,0,"bs"
"90",90,0,"tokyowashi","10/29/2016 23:08","10/29/2016 23:08","abeldanger.net","US",0,0,0,1,0,0,0,"bs"
"91",91,2,"Anonymous","10/29/2016 18:04","10/29/2016 23:47","abeldanger.net","US",0,0,5,1,0,0,0,"bs"
"92",92,3,"Anonymous","10/29/2016 17:55","10/29/2016 23:47","abeldanger.net","US",0,0,5,1,0,0,0,"bs"
"93",93,4,"Anonymous","10/29/2016 7:02","10/29/2016 23:47","abeldanger.net","US",0,0,5,1,0,0,0,"bs"
"94",94,5,"Anonymous","10/29/2016 6:34","10/29/2016 23:47","abeldanger.net","US",0,0,5,1,0,0,0,"bs"
"95",95,1,"Anonymous","10/29/2016 19:36","10/30/2016 0:45","abeldanger.net","US",0,0,2,1,0,0,0,"bs"
"96",96,2,"Anonymous","10/29/2016 19:25","10/30/2016 0:45","abeldanger.net","US",0,0,2,1,0,0,0,"bs"
"97",97,1,"Anonymous","10/29/2016 19:36","10/30/2016 0:45","abeldanger.net","US",0,0,2,1,0,0,0,"bs"
"98",98,2,"Anonymous","10/29/2016 19:25","10/30/2016 0:45","abeldanger.net","US",0,0,2,1,0,0,0,"bs"
"99",99,6,"Anonymous","10/29/2016 6:34","10/30/2016 1:42","abeldanger.net","US",0,0,6,1,0,0,0,"bs"
"100",100,3,"Anonymous","10/29/2016 19:25","10/30/2016 5:28","abeldanger.net","US",0,0,3,1,0,0,0,"bs"
"101",101,3,"Anonymous","10/29/2016 19:25","10/30/2016 5:28","abeldanger.net","US",0,0,3,1,0,0,0,"bs"
"102",102,1,"Anonymous","10/29/2016 22:37","10/30/2016 5:28","abeldanger.net","US",0,0,3,1,0,0,0,"bs"
"103",103,2,"Anonymous","10/29/2016 19:36","10/30/2016 5:28","abeldanger.net","US",0,0,3,1,0,0,0,"bs"
"104",104,3,"Anonymous","10/29/2016 19:25","10/30/2016 5:28","abeldanger.net","US",0,0,3,1,0,0,0,"bs"
"105",105,7,"Anonymous","10/29/2016 6:34","10/30/2016 5:39","abeldanger.net","US",0,0,7,1,0,0,0,"bs"
"106",106,8,"Anonymous","10/29/2016 6:34","10/30/2016 6:06","abeldanger.net","US",0,0,8,1,0,0,0,"bs"
"107",107,0,"tokyowashi","10/30/2016 11:11","10/30/2016 11:11","abeldanger.net","US",0,0,0,1,0,0,0,"bs"
"108",108,1,"Anonymous","10/30/2016 8:17","10/30/2016 13:18","abeldanger.net","US",0,0,2,1,0,0,0,"bs"
"109",109,2,"Anonymous","10/30/2016 8:01","10/30/2016 13:18","abeldanger.net","US",0,0,2,1,0,0,0,"bs"
"110",110,0,"tokyowashi","10/31/2016 0:03","10/31/2016 0:03","abeldanger.net","US",0,0,0,1,0,0,0,"bs"
"111",111,0,"tokyowashi","10/31/2016 0:40","10/31/2016 0:40","abeldanger.net","US",0,0,0,1,0,0,0,"bs"
"112",112,0,"tokyowashi","10/31/2016 4:10","10/31/2016 4:10","abeldanger.net","US",0,0,0,1,0,0,0,"bs"
"113",113,1,"Anonymous","10/30/2016 23:50","10/31/2016 5:05","abeldanger.net","US",0,0,2,1,0,0,0,"bs"
"114",114,2,"Anonymous","10/30/2016 23:40","10/31/2016 5:05","abeldanger.net","US",0,0,2,1,0,0,0,"bs"
"115",115,1,"Anonymous","10/30/2016 23:50","10/31/2016 5:14","abeldanger.net","US",0,0,2,1,0,0,0,"bs"
"116",116,2,"Anonymous","10/30/2016 23:40","10/31/2016 5:14","abeldanger.net","US",0,0,2,1,0,0,0,"bs"
"117",117,3,"Anonymous","10/30/2016 23:40","10/31/2016 10:26","abeldanger.net","US",0,0,3,1,0,0,0,"bs"
"118",118,4,"Anonymous","10/30/2016 23:50","10/31/2016 15:29","abeldanger.net","US",0,0,5,1,0,0,0,"bs"
"119",119,5,"Anonymous","10/30/2016 23:40","10/31/2016 15:29","abeldanger.net","US",0,0,5,1,0,0,0,"bs"
"120",120,1,"IBU SUMIATUNG","10/31/2016 10:28","10/31/2016 15:29","abeldanger.net","US",0,0,5,1,0,0,0,"bs"
"121",121,2,"Anonymous","10/31/2016 10:26","10/31/2016 15:29","abeldanger.net","US",0,0,5,1,0,0,0,"bs"
"122",122,3,"Anonymous","10/31/2016 4:46","10/31/2016 15:29","abeldanger.net","US",0,0,5,1,0,0,0,"bs"
"123",123,4,"Anonymous","10/30/2016 23:50","10/31/2016 15:29","abeldanger.net","US",0,0,5,1,0,0,0,"bs"
"124",124,5,"Anonymous","10/30/2016 23:40","10/31/2016 15:29","abeldanger.net","US",0,0,5,1,0,0,0,"bs"
"125",125,3,"Anonymous","10/30/2016 19:24","10/31/2016 15:35","abeldanger.net","US",0,0,3,1,0,0,0,"bs"
"126",126,3,"Anonymous","10/30/2016 19:24","10/31/2016 15:35","abeldanger.net","US",0,0,3,1,0,0,0,"bs"
"127",127,4,"Anonymous","10/30/2016 8:17","10/31/2016 16:41","abeldanger.net","US",0,0,5,1,0,0,0,"bs"
"128",128,5,"Anonymous","10/30/2016 8:01","10/31/2016 16:41","abeldanger.net","US",0,0,5,1,0,0,0,"bs"
"129",129,4,"Anonymous","10/30/2016 8:17","10/31/2016 16:41","abeldanger.net","US",0,0,5,1,0,0,0,"bs"
"130",130,5,"Anonymous","10/30/2016 8:01","10/31/2016 16:41","abeldanger.net","US",0,0,5,1,0,0,0,"bs"
"131",131,6,"Anonymous","10/30/2016 23:40","10/31/2016 21:27","abeldanger.net","US",0,0,6,1,0,0,0,"bs"
"132",132,6,"Anonymous","10/30/2016 23:40","10/31/2016 21:27","abeldanger.net","US",0,0,6,1,0,0,0,"bs"
"133",133,0,"tokyowashi","10/31/2016 22:49","10/31/2016 22:49","abeldanger.net","US",0,0,0,1,0,0,0,"bs"
"134",134,1,"Anonymous","10/31/2016 20:31","11/1/2016 1:34","abeldanger.net","US",0,0,1,1,0,0,0,"bs"
"135",135,0,"tokyowashi","11/1/2016 1:43","11/1/2016 1:43","abeldanger.net","US",0,0,0,1,0,0,0,"bs"
"136",136,2,"Anonymous","11/1/2016 0:52","11/1/2016 6:32","abeldanger.net","US",0,0,3,1,0,0,0,"bs"
"137",137,3,"Anonymous","10/31/2016 20:31","11/1/2016 6:32","abeldanger.net","US",0,0,3,1,0,0,0,"bs"
"138",138,0,"tokyowashi","11/1/2016 7:56","11/1/2016 7:56","abeldanger.net","US",0,0,0,1,0,0,0,"bs"
"139",139,0,"tokyowashi","11/1/2016 8:10","11/1/2016 8:10","abeldanger.net","US",0,0,0,1,0,0,0,"bs"
"140",140,0,"tokyowashi","11/1/2016 8:20","11/1/2016 8:20","abeldanger.net","US",0,0,0,1,0,0,0,"bs"
"141",141,0,"tokyowashi","11/1/2016 8:54","11/1/2016 8:54","abeldanger.net","US",0,0,0,1,0,0,0,"bs"
"142",142,0,"tokyowashi","11/1/2016 8:55","11/1/2016 8:55","abeldanger.net","US",0,0,0,1,0,0,0,"bs"
"143",143,1,"Anonymous","11/1/2016 5:12","11/1/2016 11:32","abeldanger.net","US",0,0,1,1,0,0,0,"bs"
"144",144,1,"Anonymous","11/1/2016 6:12","11/1/2016 11:37","abeldanger.net","US",0,0,1,1,0,0,0,"bs"
"145",145,2,"Anonymous","11/1/2016 5:12","11/1/2016 15:30","abeldanger.net","US",0,0,2,1,0,0,0,"bs"
"146",146,0,"tokyowashi","11/1/2016 23:17","11/1/2016 23:17","abeldanger.net","US",0,0,0,1,0,0,0,"bs"
"147",147,0,"tokyowashi","11/2/2016 0:41","11/2/2016 0:41","abeldanger.net","US",0,0,0,1,0,0,0,"bs"
"148",148,1,"Steve smith","11/1/2016 20:22","11/2/2016 1:48","abeldanger.net","US",0,0,6,1,0,0,0,"bs"
"149",149,2,"David Howard","11/1/2016 17:53","11/2/2016 1:48","abeldanger.net","US",0,0,6,1,0,0,0,"bs"
"150",150,3,"Anonymous","11/1/2016 17:47","11/2/2016 1:48","abeldanger.net","US",0,0,6,1,0,0,0,"bs"
"151",151,4,"Joseph Olson","11/1/2016 16:35","11/2/2016 1:48","abeldanger.net","US",0,0,6,1,0,0,0,"bs"
"152",152,5,"Anonymous","11/1/2016 3:15","11/2/2016 1:48","abeldanger.net","US",0,0,6,1,0,0,0,"bs"
"153",153,6,"Anonymous","11/1/2016 3:06","11/2/2016 1:48","abeldanger.net","US",0,0,6,1,0,0,0,"bs"
"154",154,7,"Anonymous","11/1/2016 3:15","11/2/2016 2:57","abeldanger.net","US",0,0,8,1,0,0,0,"bs"
"155",155,8,"Anonymous","11/1/2016 3:06","11/2/2016 2:57","abeldanger.net","US",0,0,8,1,0,0,0,"bs"
"156",156,1,"Anonymous","11/1/2016 22:14","11/2/2016 3:23","abeldanger.net","US",0,0,1,1,0,0,0,"bs"
"157",157,9,"David Howard","11/1/2016 17:53","11/2/2016 3:55","abeldanger.net","US",0,0,13,1,0,0,0,"bs"
"158",158,10,"Anonymous","11/1/2016 17:47","11/2/2016 3:55","abeldanger.net","US",0,0,13,1,0,0,0,"bs"
"159",159,11,"Joseph Olson","11/1/2016 16:35","11/2/2016 3:55","abeldanger.net","US",0,0,13,1,0,0,0,"bs"
"160",160,0,"neoholographic","10/26/2016 22:01","10/26/2016 22:20","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"161",161,0,"Peeple","10/26/2016 21:53","10/26/2016 22:20","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"162",162,0,"PraetorianAZ","10/26/2016 20:51","10/26/2016 22:20","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"163",163,0,"seentoomuch","10/26/2016 18:13","10/26/2016 22:20","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"164",164,0,"vlawde","10/26/2016 23:54","10/26/2016 23:54","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"165",165,0,"apoc36","10/26/2016 23:54","10/26/2016 23:54","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"166",166,0,"theantediluvian","10/26/2016 23:54","10/26/2016 23:54","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"167",167,0,"reldra","10/26/2016 23:54","10/26/2016 23:54","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"168",168,0,"Kali74","10/26/2016 23:54","10/26/2016 23:54","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"169",169,0,"recrisp","10/26/2016 23:54","10/26/2016 23:54","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"170",170,0,"recrisp","10/26/2016 23:54","10/26/2016 23:54","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"171",171,0,"Profusion","10/26/2016 23:54","10/26/2016 23:54","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"172",172,0,"sanitizedinfo","10/26/2016 23:54","10/26/2016 23:54","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"173",173,0,"neoholographic","10/26/2016 23:54","10/26/2016 23:54","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"174",174,0,"The angel of light","10/26/2016 23:54","10/26/2016 23:54","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"175",175,0,"darkbake","10/26/2016 23:54","10/26/2016 23:54","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"176",176,0,"willz","10/26/2016 23:54","10/26/2016 23:54","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"177",177,0,"jedi_hamster","10/26/2016 23:54","10/26/2016 23:54","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"178",178,0,"PrairieShepherd","10/26/2016 23:55","10/26/2016 23:55","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"179",179,0,"SyxPak","10/26/2016 23:55","10/26/2016 23:55","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"180",180,0,"matafuchs","10/26/2016 23:55","10/26/2016 23:55","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"181",181,0,"Bloodydagger","10/26/2016 23:55","10/26/2016 23:55","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"182",182,0,"Xcathdra","10/26/2016 23:37","10/26/2016 23:55","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"183",183,0,"gortex","10/26/2016 23:18","10/26/2016 23:55","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"184",184,0,"ssenerawa","10/27/2016 0:12","10/27/2016 0:12","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"185",185,0,"Encryptor","10/27/2016 0:28","10/27/2016 0:28","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"186",186,0,"bryan2006","10/27/2016 6:42","10/27/2016 6:42","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"187",187,0,"carewemust","10/27/2016 6:42","10/27/2016 6:42","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"188",188,0,"Teotihuacan","10/27/2016 6:42","10/27/2016 6:42","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"189",189,0,"Teotihuacan","10/27/2016 6:42","10/27/2016 6:42","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"190",190,0,"Doctor Smith","10/27/2016 6:42","10/27/2016 6:42","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"191",191,0,"Kashai","10/27/2016 6:42","10/27/2016 6:42","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"192",192,0,"Jdennis10","10/27/2016 6:42","10/27/2016 6:42","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"193",193,0,"JinMI","10/27/2016 6:42","10/27/2016 6:42","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"194",194,0,"theantediluvian","10/27/2016 6:42","10/27/2016 6:42","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"195",195,0,"Violater1","10/27/2016 6:14","10/27/2016 6:42","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"196",196,0,"carewemust","10/27/2016 5:37","10/27/2016 6:42","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"197",197,0,"Profusion","10/27/2016 5:06","10/27/2016 6:42","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"198",198,0,"ghostrager","10/27/2016 4:31","10/27/2016 6:42","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"199",199,0,"frenchfries","10/27/2016 8:15","10/27/2016 8:15","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"200",200,0,"Paradoxroutine","10/27/2016 8:15","10/27/2016 8:15","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"201",201,0,"SoulOfCeres","10/27/2016 8:15","10/27/2016 8:15","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"202",202,0,"gariac","10/27/2016 8:15","10/27/2016 8:15","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"203",203,0,"xuenchen","10/27/2016 7:31","10/27/2016 8:15","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"204",204,0,"Hefficide","10/27/2016 6:52","10/27/2016 8:15","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"205",205,0,"childoffather","10/27/2016 6:50","10/27/2016 8:15","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
"206",206,0,"Gandalf77","10/26/2016 21:17","10/27/2016 14:27","abovetopsecret.com","US",18533,0,0,1,0,0,0,"bs"
